informative_lh,prior,lh,red_observation,left_pred,run
False,0.3,0.5,red,0.43,58
True,0.5,0.8,blue,0.2,59
False,0.1,0.5,blue,0.1,59
True,0.5,0.7,red,0.7,60
False,0.1,0.5,red,0.11,60
True,0.5,0.1,red,0.1,61
False,0.3,0.6,red,0.7,61
True,0.5,0.3,blue,0.5,62
False,0.8,0.5,red,0.67,62
True,0.6,0.2,red,0.21,63
False,0.9,0.5,red,0.45,63
True,0.5,0.3,red,0.55,64
False,0.1,0.5,blue,0.09,64
True,0.6,0.8,red,0.71,65
False,0.8,0.4,blue,0.83,65
True,0.5,0.3,red,0.65,66
False,0.2,0.6,red,0.27,66
True,0.5,0.8,red,0.83,67
False,0.9,0.4,blue,0.83,67
True,0.5,0.3,red,0.5,68
False,0.9,0.4,blue,0.63,68
True,0.4,0.7,blue,0.33,69
False,0.1,0.5,red,0.09,69
True,0.5,0.8,blue,0.2,70
False,0.8,0.6,blue,0.59,70
True,0.5,0.3,blue,0.5,71
False,0.7,0.6,red,0.81,71
True,0.6,0.2,red,0.47,72
False,0.9,0.5,blue,0.45,72
True,0.4,0.9,blue,0.06,73
False,0.1,0.4,red,0.07,73
True,0.5,0.3,blue,0.3,74
False,0.9,0.5,red,0.45,74
True,0.5,0.3,red,0.38,75
False,0.1,0.4,blue,0.05,75
True,0.4,0.1,red,0.14,76
False,0.2,0.5,red,0.25,76
True,0.4,0.1,red,0.16,77
False,0.9,0.6,blue,0.54,77
True,0.4,0.1,blue,0.64,78
False,0.3,0.5,blue,0.5,78
True,0.5,0.8,blue,0.25,79
False,0.8,0.5,red,0.8,79
True,0.6,0.3,red,0.43,80
False,0.3,0.5,red,0.86,80
True,0.5,0.2,blue,0.8,81
False,0.8,0.6,blue,0.86,81
True,0.6,0.1,red,0.36,82
False,0.2,0.4,red,0.25,82
True,0.5,0.7,red,0.7,83
False,0.7,0.4,blue,0.61,83
True,0.5,0.7,blue,0.43,84
False,0.1,0.6,red,0.99,84
True,0.5,0.2,red,0.5,85
False,0.7,0.5,red,0.6,85
True,0.4,0.1,red,0.05,86
False,0.9,0.4,red,0.86,86
True,0.4,0.7,blue,0.14,87
False,0.3,0.4,red,0.11,87
True,0.4,0.2,red,0.5,88
False,0.3,0.5,blue,0.51,88
True,0.5,0.8,red,0.8,89
False,0.1,0.6,red,0.14,89
True,0.6,0.7,blue,0.43,90
False,0.2,0.4,blue,0.21,90
True,0.5,0.2,blue,0.66,91
False,0.8,0.6,red,0.86,91
True,0.5,0.9,red,0.82,92
False,0.7,0.5,blue,0.7,92
True,0.5,0.9,blue,0.17,93
False,0.2,0.5,red,0.07,93
True,0.5,0.1,blue,0.5,94
False,0.8,0.5,red,0.57,94
True,0.5,0.9,blue,0.08,95
False,0.2,0.5,red,0.33,95
True,0.5,0.8,red,0.88,96
False,0.7,0.5,red,0.64,96
True,0.5,0.8,red,0.67,97
False,0.9,0.5,blue,0.9,97
True,0.6,0.7,blue,0.23,98
False,0.8,0.5,red,0.8,98
True,0.5,0.9,red,0.99,99
False,0.1,0.4,red,0.16,99
